sy_snum,sy_pnum,pl_orbper,pl_radj,pl_massj,pl_orbeccen,st_teff,st_rad,st_mass
1,2,5.29860000,0.152,,,4114.00,0.50,
1,2,5.29853000,0.296,,,,0.67,
1,2,5.29711000,0.145,,,,,0.56
1,2,0.35490972,0.129,,,3893.00,0.57,
1,2,0.35488400,0.107,,,4114.00,0.50,
1,1,2.25372000,0.080,,,,,0.41
1,1,2.25558000,0.200,,,,0.37,
1,1,2.25543600,0.089,,,3297.00,0.25,
1,2,1.58252000,0.086,,,,,0.71
1,2,1.58316000,0.109,,,,0.67,
1,2,17.50166200,0.235,,,4749.00,0.73,
1,2,17.51250000,0.192,,,,0.67,
1,2,17.51547200,0.187,,,4752.00,0.76,0.83
1,1,21.16961900,0.196,,0.180000,3880.00,0.59,0.61
1,1,21.16860000,0.194,,,,0.64,
1,1,21.15950000,,,,3811.00,0.60,0.59
1,1,21.16986100,0.177,,0.060000,4148.21,0.57,0.66
1,1,21.17623917,,,,3811.00,0.60,0.59
1,1,21.17019630,0.171,,,4057.00,0.58,0.62
1,1,19.49221000,0.514,,,6069.00,1.39,1.17
1,1,19.49214980,,,,6025.00,1.38,1.18
1,1,19.50735025,,,,6128.00,1.36,1.16
1,1,19.49214730,0.491,,,6128.00,1.36,
1,1,19.49179500,0.520,,,6046.00,1.41,
1,1,19.49213000,0.546,0.08495,0.000000,6025.00,1.38,1.18
1,1,19.49183000,0.532,,,,1.40,
1,1,19.49100000,,,,6128.00,1.36,1.16
1,1,19.49196500,0.610,,,6320.00,1.49,
1,1,19.49213200,0.540,,,,1.48,
1,2,2.28896000,0.163,,,,0.75,
1,2,2.28943000,0.118,,,,,0.83
1,2,2.28936300,0.132,,,5171.00,0.80,0.83
1,2,5.21396500,0.203,,,5171.00,0.80,0.83
1,2,5.21378000,0.204,,,,0.75,
1,2,5.21300000,,,,5008.00,0.78,0.83
1,1,18.09830000,0.194,,,,,1.11
1,1,18.09710000,0.197,,,,1.22,
1,1,34.88500000,0.143,,,,,0.91
1,2,15.28410000,0.100,,,,,0.95
1,2,15.28410000,0.124,,,,0.98,
1,2,15.28078000,0.112,,,6004.00,0.98,0.99
1,2,23.22600100,0.200,,,5928.00,0.95,
1,2,23.24110566,,,,6055.00,0.95,1.13
1,2,23.22600000,,,,6055.00,0.95,1.13
1,2,23.22590000,0.206,,,,0.98,
1,2,23.22855500,0.207,,,6004.00,0.98,0.99
1,2,23.22600000,0.210,,,,0.95,
1,2,0.57865700,0.107,,,5765.00,0.93,
1,2,11.81387000,0.238,,,,0.95,
1,2,11.81143700,0.205,,,5765.00,0.93,
1,2,13.60300000,,,,4581.00,0.67,0.72
1,2,13.60300000,0.231,,0.200000,4684.00,0.67,0.69
1,2,13.60697954,,,,4581.00,0.67,0.72
1,2,65.55000000,0.240,,0.200000,4684.00,0.67,0.69
1,1,0.76240600,0.088,,,5620.00,0.89,
1,2,0.70531000,0.143,,,5499.00,1.00,
1,2,0.70538600,0.154,,,,1.01,
1,2,0.70531000,0.132,,,,,0.94
1,2,0.57129200,0.154,0.02583,0.000000,5532.00,0.99,0.95
1,2,0.57130800,0.130,,0.000000,5590.00,0.83,0.93
1,2,0.57133100,0.162,,,5617.00,0.98,0.97
1,2,0.57129900,0.149,,,5590.00,0.91,0.97
1,2,0.57121200,0.143,,,5613.00,0.95,
1,2,0.57129200,0.136,0.02630,0.000000,5470.00,0.87,0.94
1,2,0.57100000,0.153,0.02429,,5496.00,0.98,0.90
1,2,0.57133600,0.162,0.02832,,5496.00,0.95,0.92
1,2,0.57128500,0.162,,,,1.02,
1,2,0.57133600,0.160,,,,0.97,
1,2,13.33868700,0.250,,,,0.97,
1,2,13.33461500,0.196,,,5613.00,0.95,
