pl_name,hostname,No.of stars,No.of Planets,No.of Moons,Discovery year,Discovery facility,Discovery Instrument,Orbital Period,Stellar effective Temparature,Stellar radius,Stellar mass,Stellar surface gravity,distance,Gaia Magnitude,releasedate
Kepler-1371 b,Kepler-1371,1,2,0,2016,Kepler,Kepler CCD Array,3.4462039,5361.0,0.83,0.87,4.55,515.334,13.8344,2016-05-10
Kepler-1371 c,Kepler-1371,1,2,0,2016,Kepler,Kepler CCD Array,2.00541429,5378.93,0.92,0.93,4.48,515.334,13.8344,2018-09-25
Kepler-1372 b,Kepler-1372,1,1,0,2016,Kepler,Kepler CCD Array,1.31156295,5567.0,1.09,0.98,4.35,1303.22,15.3493,2019-04-18
Kepler-1373 b,Kepler-1373,1,1,0,2016,Kepler,Kepler CCD Array,1.29123275,6341.0,1.03,1.08,4.45,1699.46,14.0717,2014-11-18
Kepler-1374 b,Kepler-1374,1,1,0,2016,Kepler,Kepler CCD Array,10.65276707,5614.0,0.83,0.91,4.56,1078.46,15.93,2015-08-25
Kepler-1375 b,Kepler-1375,1,1,0,2016,Kepler,Kepler CCD Array,3.30045211,6535.29,2.01,1.35,3.96,1430.84,13.7103,2019-04-18
Kepler-1376 b,Kepler-1376,1,1,0,2016,Kepler,Kepler CCD Array,5.30878648,5528.0,1.01,0.97,4.42,868.056,14.6721,2019-04-18
Kepler-1377 b,Kepler-1377,1,1,0,2016,Kepler,Kepler CCD Array,0.74092842,5618.0,0.87,0.87,4.49,1146.1,15.8887,2014-11-18
Kepler-1378 b,Kepler-1378,1,1,0,2016,Kepler,Kepler CCD Array,11.95398936,4359.0,0.66,0.65,4.61,506.434,16.0538,2014-11-18
Kepler-1379 b,Kepler-1379,1,1,0,2016,Kepler,Kepler CCD Array,0.88184115,5260.0,0.78,0.86,4.59,971.325,15.8526,2014-11-21
Kepler-138 b,Kepler-138,1,4,0,2014,Kepler,Kepler CCD Array,,3871.0,0.55,0.59,,66.8624,12.4715,2016-02-11
Kepler-138 c,Kepler-138,1,4,0,2014,Kepler,Kepler CCD Array,13.78109471,3846.0,0.5,0.51,4.74,66.8624,12.4715,2017-05-08
Kepler-138 d,Kepler-138,1,4,0,2014,Kepler,Kepler CCD Array,23.08902241,3880.0,0.54,0.54,4.7,66.8624,12.4715,2018-09-25
Kepler-138 e,Kepler-138,1,4,0,2022,Multiple Observatories,Multiple Instruments,38.23,3841.0,0.54,0.54,4.71,66.8624,12.4715,2023-01-04
Kepler-1380 b,Kepler-1380,1,1,0,2016,Kepler,Kepler CCD Array,10.31054141,5324.0,2.03,0.92,3.79,2462.94,15.6136,2019-04-18
Kepler-1381 b,Kepler-1381,1,1,0,2016,Kepler,Kepler CCD Array,25.3842686,6137.0,0.99,1.07,4.47,1197.04,15.4776,2014-11-18
Kepler-1382 b,Kepler-1382,1,1,0,2016,Kepler,Kepler CCD Array,16.35834,5983.0,0.93,1.03,4.51,738.261,12.7575,2013-10-28
Kepler-1383 b,Kepler-1383,1,1,0,2016,Kepler,Kepler CCD Array,13.9093583,6279.0,1.19,0.93,4.25,1027.21,13.7077,2015-08-25
Kepler-1384 b,Kepler-1384,1,1,0,2016,Kepler,Kepler CCD Array,15.3626052,5011.0,0.85,0.81,4.48,,15.446,2017-05-08
Kepler-1385 b,Kepler-1385,1,1,0,2016,Kepler,Kepler CCD Array,,5727.0,1.69,,,688.795,12.8443,2018-09-06
Kepler-1386 b,Kepler-1386,1,1,0,2016,Kepler,Kepler CCD Array,6.73968289,5562.0,1.09,0.98,4.36,835.882,14.4168,2018-09-25
Kepler-1387 b,Kepler-1387,1,1,0,2016,Kepler,Kepler CCD Array,2.27952521,4982.83,0.7,0.82,4.66,455.358,14.5804,2019-04-18
Kepler-1388 b,Kepler-1388,1,4,0,2016,Kepler,Kepler CCD Array,12.2854718,3891.0,0.56,0.6,4.72,453.795,16.2941,2017-05-08
Kepler-1388 c,Kepler-1388,1,4,0,2016,Kepler,Kepler CCD Array,5.536118,3938.0,0.6,0.59,4.65,453.795,16.2941,2016-07-28
Kepler-1388 d,Kepler-1388,1,4,0,2016,Kepler,Kepler CCD Array,20.9569985,3891.0,0.56,0.6,4.72,453.795,16.2941,2017-05-08
Kepler-1388 e,Kepler-1388,1,4,0,2016,Kepler,Kepler CCD Array,37.6327084,3903.0,0.52,0.54,4.74,453.795,16.2941,2014-11-21
Kepler-1389 b,Kepler-1389,1,1,0,2016,Kepler,Kepler CCD Array,99.2532336,5010.0,0.71,0.8,4.62,497.093,14.6836,2017-05-08
Kepler-139 b,Kepler-139,1,4,0,2014,Kepler,Kepler CCD Array,15.77111583,5616.0,1.2,1.04,4.3,391.038,12.677,2014-11-18
Kepler-139 c,Kepler-139,1,4,0,2014,Kepler,Kepler CCD Array,157.06511568,5550.0,1.1,0.98,4.35,391.038,12.677,2019-04-18
Kepler-139 d,Kepler-139,1,4,0,2023,Kepler,Kepler CCD Array,7.30570633,5620.0,1.14,1.02,4.33,391.038,12.677,2017-05-08
Kepler-139 e,Kepler-139,1,4,0,2023,W. M. Keck Observatory,HIRES Spectrometer,2047.635373,,,1.08,,391.038,12.677,2024-02-16
Kepler-1390 b,Kepler-1390,1,1,0,2016,Kepler,Kepler CCD Array,6.48021673,5753.0,0.98,0.98,4.45,723.431,14.4022,2016-05-10
Kepler-1391 b,Kepler-1391,1,1,0,2016,Kepler,Kepler CCD Array,54.40946555,5579.13,1.78,0.98,3.93,1038.35,13.8283,2016-07-28
Kepler-1392 b,Kepler-1392,1,1,0,2016,Kepler,Kepler CCD Array,15.1410397,5926.0,0.89,0.98,4.53,,15.6665,2014-11-21
Kepler-1393 b,Kepler-1393,1,1,0,2016,Kepler,Kepler CCD Array,2.44357812,5697.0,0.92,0.95,4.5,544.456,13.3324,2016-05-10
Kepler-1394 b,Kepler-1394,1,1,0,2016,Kepler,Kepler CCD Array,3.93766373,6712.0,1.52,1.33,4.19,640.409,11.7144,2014-11-18
Kepler-1395 b,Kepler-1395,1,1,0,2016,Kepler,Kepler CCD Array,3.7847507,6017.0,1.21,1.13,4.33,492.894,12.536,2017-05-08
Kepler-1396 b,Kepler-1396,1,1,0,2016,Kepler,Kepler CCD Array,18.2206421,6241.0,1.03,1.09,4.45,1066.46,14.5271,2015-08-25
Kepler-1397 b,Kepler-1397,1,1,0,2016,Kepler,Kepler CCD Array,47.4497134,6007.0,1.13,1.04,4.35,1198.25,14.0909,2017-05-08
Kepler-1398 b,Kepler-1398,1,2,0,2016,Kepler,Kepler CCD Array,,5969.0,1.3,,,852.204,13.6605,2018-09-06
Kepler-1398 c,Kepler-1398,1,2,0,2016,Kepler,Kepler CCD Array,4.13827595,6245.0,0.98,1.01,4.46,852.204,13.6605,2015-08-25
Kepler-1399 b,Kepler-1399,1,1,0,2016,Kepler,Kepler CCD Array,1.63865252,5547.0,1.09,0.98,4.35,1385.7,15.5074,2018-09-25
Kepler-14 b,Kepler-14,2,1,0,2011,Kepler,Kepler CCD Array,6.7901216,6378.0,2.08,1.39,3.95,,,2014-11-21
Kepler-140 b,Kepler-140,1,2,0,2014,Kepler,Kepler CCD Array,3.25427774,6108.41,1.19,1.15,4.35,583.859,12.9412,2018-09-25
Kepler-140 c,Kepler-140,1,2,0,2014,Kepler,Kepler CCD Array,91.353282,6077.0,1.29,,4.27,583.859,12.9412,2014-05-14
Kepler-1400 b,Kepler-1400,1,1,0,2016,Kepler,Kepler CCD Array,,5135.0,0.65,,,752.237,15.7129,2018-09-06
Kepler-1401 b,Kepler-1401,1,1,0,2016,Kepler,Kepler CCD Array,11.20066445,6038.0,0.9,0.98,4.52,1425.43,14.9721,2015-08-25
Kepler-1402 b,Kepler-1402,1,1,0,2016,Kepler,Kepler CCD Array,2.033876,5409.0,0.77,0.87,4.6,1493.64,14.6083,2013-10-28
Kepler-1403 b,Kepler-1403,1,1,0,2016,Kepler,Kepler CCD Array,5.19492202,6449.0,1.24,1.31,4.37,2163.9,15.5907,2015-08-25
Kepler-1404 b,Kepler-1404,1,1,0,2016,Kepler,Kepler CCD Array,15.9314412,5380.0,0.72,0.79,4.62,962.183,15.7029,2017-05-08
